timestep_time;edge_id;lane_id;vehicle_id;vehicle_pos;vehicle_speed
00:16:23;:cluster_1159196298_1159196428_675909808_9384346485_#1more_16;:cluster_1159196298_1159196428_675909808_9384346485_#1more_16_0;veh105;2.09;5.52
00:16:23;:cluster_1806902547_675909120_7551767466_9384456422_6;:cluster_1806902547_675909120_7551767466_9384456422_6_0;veh115;14.76;7.94
00:16:23;100289866#2;100289866#2_0;veh121;97.77;13.05
00:16:23;24235720#0;24235720#0_0;veh118;67.77;13.25
00:16:23;24235724#0;24235724#0_0;veh116;6.99;13.28
00:16:23;288069073#1;288069073#1_0;veh114;3.62;6.46
00:16:23;53478678#0;53478678#0_0;veh122;71.27;13.88
00:16:23;665481281#1;665481281#1_0;veh119;28.94;26.59
00:16:24;:5151323629_10;:5151323629_10_0;veh124;4.44;5.35
00:16:24;:cluster_1159196298_1159196428_675909808_9384346485_#1more_16;:cluster_1159196298_1159196428_675909808_9384346485_#1more_16_0;veh105;9.24;7.14
00:16:24;:cluster_6228739318_6228739324_6228760750_4;:cluster_6228739318_6228739324_6228760750_4_0;veh119;20.46;26.71
00:16:24;-24962020#7;-24962020#7_0;veh115;4.95;8.29
00:16:24;100289866#2;100289866#2_0;veh121;111.02;13.25
00:16:24;24235720#0;24235720#0_0;veh118;81.46;13.68
00:16:24;24235724#0;24235724#0_0;veh116;19.39;12.39
00:16:24;288069073#1;288069073#1_0;veh114;12.36;8.73
00:16:24;53478678#0;53478678#0_0;veh122;85.99;14.72
00:16:25;:1388268490_7;:1388268490_7_0;veh114;0.43;10.93
00:16:25;:5151323628_3;:5151323628_3_0;veh124;1.28;5.76
00:16:25;-24962020#7;-24962020#7_0;veh115;14.98;10.03
00:16:25;100289866#2;100289866#2_0;veh121;120.65;9.64
00:16:25;24235720#0;24235720#0_0;veh118;95.28;13.82
00:16:25;24235724#0;24235724#0_0;veh116;32.51;13.12
00:16:25;53478584#0;53478584#0_0;veh105;3.70;7.84
00:16:25;53478678#0;53478678#0_0;veh122;100.52;14.53
00:16:25;829324436;829324436_0;veh119;1.44;27.05
00:16:26;:1388268490_7;:1388268490_7_0;veh114;13.46;13.03
00:16:26;:5151323628_3;:5151323628_3_0;veh124;6.37;5.08
00:16:26;-24962020#7;-24962020#7_0;veh115;26.83;11.85
00:16:26;100289866#2;100289866#2_0;veh121;126.31;5.66
00:16:26;24235720#0;24235720#0_0;veh118;109.19;13.91
00:16:26;24235724#0;24235724#0_0;veh116;44.96;12.46
00:16:26;53478584#0;53478584#0_0;veh105;14.04;10.34
00:16:26;53478678#1;53478678#1_0;veh122;1.93;14.85
00:16:26;829324436;829324436_0;veh119;28.19;26.75
00:16:27;:1159196503_6;:1159196503_6_0;veh121;3.02;6.23
00:16:27;:2655662616_1;:2655662616_1_0;veh119;4.26;26.59
00:16:27;-24496221#4;-24496221#4_0;veh124;3.54;5.01
00:16:27;-24962020#7;-24962020#7_0;veh115;35.28;8.45
00:16:27;-53478584#5;-53478584#5_0;veh125;5.10;13.86
00:16:27;24235720#0;24235720#0_0;veh118;122.48;13.29
00:16:27;24235724#0;24235724#0_0;veh116;57.89;12.92
00:16:27;288069073#2;288069073#2_0;veh114;12.47;13.94
00:16:27;53478584#0;53478584#0_0;veh105;20.51;6.47
00:16:27;53478678#1;53478678#1_0;veh122;16.44;14.52
00:16:28;:675909826_0;:675909826_0_0;veh105;4.44;5.54
00:16:28;:675910525_6;:675910525_6_0;veh122;3.35;12.03
00:16:28;:cluster_2589193649_675909149_14;:cluster_2589193649_675909149_14_0;veh115;0.99;5.48
00:16:28;-24496221#4;-24496221#4_0;veh124;10.73;7.19
00:16:28;-288069073#4;-288069073#4_0;veh121;0.37;6.39
00:16:28;-53478584#5;-53478584#5_0;veh125;17.69;12.59
00:16:28;24235720#0;24235720#0_0;veh118;136.48;14.00
00:16:28;24235724#0;24235724#0_0;veh116;70.51;12.63
00:16:28;288069073#2;288069073#2_0;veh114;26.73;14.26
00:16:28;829324432#1;829324432#1_0;veh119;4.80;26.31
00:16:29;:cluster_2589193649_675909149_18;:cluster_2589193649_675909149_18_0;veh115;5.69;6.99
00:16:29;-24496221#4;-24496221#4_0;veh124;20.15;9.42
00:16:29;-288069073#4;-288069073#4_0;veh121;9.35;8.98
00:16:29;-53478584#5;-53478584#5_0;veh125;31.32;13.63
00:16:29;24235720#0;24235720#0_0;veh118;149.61;13.13
00:16:29;24235724#1;24235724#1_0;veh116;0.32;13.11
00:16:29;288069073#2;288069073#2_0;veh114;40.18;13.45
00:16:29;53478596#0;53478596#0_0;veh105;1.47;5.84
00:16:29;53478678#2;53478678#2_0;veh122;6.85;12.03
00:16:29;665481280;665481280_0;veh119;7.93;26.93
00:16:30;:675910498_0;:675910498_0_0;veh125;6.63;11.86
00:16:30;:cluster_2589193649_675909149_18;:cluster_2589193649_675909149_18_0;veh115;14.78;9.09
00:16:30;-24496221#4;-24496221#4_0;veh124;31.68;11.54
00:16:30;-288069073#4;-288069073#4_0;veh121;20.64;11.29
00:16:30;24235720#0;24235720#0_0;veh118;163.93;14.32
00:16:30;24235724#1;24235724#1_0;veh116;12.94;12.62
00:16:30;288069073#2;288069073#2_0;veh114;54.25;14.07
00:16:30;53478596#0;53478596#0_0;veh105;8.28;6.81
00:16:30;53478678#2;53478678#2_0;veh122;21.20;14.35
00:16:30;665481280;665481280_0;veh119;33.97;26.04
00:16:31;:cluster_1806902547_675909120_7551767466_9384456422_7;:cluster_1806902547_675909120_7551767466_9384456422_7_0;veh118;12.19;13.32
00:16:31;-24496221#4;-24496221#4_0;veh124;45.11;13.43
00:16:31;-288069073#4;-288069073#4_0;veh121;33.30;12.66
00:16:31;-53478381#1;-53478381#1_0;veh115;5.11;8.43
00:16:31;-53478584#4;-53478584#4_0;veh125;4.67;11.14
00:16:31;24235724#1;24235724#1_0;veh116;26.39;13.46
00:16:31;288069073#2;288069073#2_0;veh114;67.74;13.49
00:16:31;53478596#0;53478596#0_0;veh105;14.85;6.56
00:16:31;53478678#2;53478678#2_0;veh122;35.77;14.57
00:16:31;665481280;665481280_0;veh119;58.38;24.41
00:16:32;:156842167_1;:156842167_1_0;veh119;5.63;19.91
00:16:32;:156842167_1;:156842167_1_1;;;
00:16:32;-24496221#4;-24496221#4_0;veh124;61.12;16.01
00:16:32;-288069073#4;-288069073#4_0;veh121;46.12;12.81
00:16:32;-53478381#1;-53478381#1_0;veh115;15.78;10.67
00:16:32;-53478584#4;-53478584#4_0;veh125;18.06;13.40
00:16:32;24235720#2;24235720#2_0;veh118;8.70;13.71
00:16:32;24235724#1;24235724#1_0;veh116;38.91;12.52
00:16:32;288069073#2;288069073#2_0;veh114;81.90;14.15
00:16:32;53478596#0;53478596#0_0;veh105;21.25;6.40
00:16:32;53478678#2;53478678#2_0;veh122;46.69;10.92
00:16:33;:cluster_1159196580_1388268496_1;:cluster_1159196580_1388268496_1_0;veh121;5.22;12.94
00:16:33;:cluster_271251231_675910561_7;:cluster_271251231_675910561_7_0;veh122;1.66;6.64
00:16:33;-24496221#3;-24496221#3_0;veh124;0.24;17.65
00:16:33;-53478381#1;-53478381#1_0;veh115;27.97;12.19
00:16:33;-53478584#4;-53478584#4_0;veh125;31.83;13.76
00:16:33;24037263#0;24037263#0_0;veh119;9.35;15.41
00:16:33;24037263#0;24037263#0_1;;;
00:16:33;24235720#2;24235720#2_0;veh118;22.50;13.80
00:16:33;24235724#1;24235724#1_0;veh116;52.09;13.18
00:16:33;288069073#2;288069073#2_0;veh114;95.30;13.40
00:16:33;53478596#0;53478596#0_0;veh105;27.65;6.40
00:16:34;:2655662627_0;:2655662627_0_0;veh119;4.35;10.91
00:16:34;:2655662627_0;:2655662627_0_1;;;
00:16:34;:cluster_1159196580_1388268496_1;:cluster_1159196580_1388268496_1_0;veh121;18.69;13.47
00:16:34;:cluster_1159196580_1388268496_9;:cluster_1159196580_1388268496_9_0;veh114;3.07;14.38
00:16:34;:cluster_271251231_675910561_13;:cluster_271251231_675910561_13_0;veh122;4.47;8.66
00:16:34;-24496221#2;-24496221#2_0;veh124;7.76;19.97
00:16:34;-53478381#1;-53478381#1_0;veh115;40.10;12.13
00:16:34;-53478584#4;-53478584#4_0;veh125;45.28;13.45
00:16:34;24235720#2;24235720#2_0;veh118;35.65;13.15
00:16:34;24235724#1;24235724#1_0;veh116;65.11;13.02
00:16:34;53478596#0;53478596#0_0;veh105;34.25;6.60
00:16:35;:260689772_0;:260689772_0_0;veh119;4.38;12.86
00:16:35;:cluster_1159196580_1388268496_9;:cluster_1159196580_1388268496_9_0;veh114;17.66;14.60
00:16:35;:cluster_271251231_675910561_13;:cluster_271251231_675910561_13_0;veh122;14.64;10.17
00:16:35;-24496221#2;-24496221#2_0;veh124;29.79;22.03
00:16:35;-288069073#2;-288069073#2_0;veh121;10.88;13.60
00:16:35;-53478381#1;-53478381#1_0;veh115;52.74;12.64
00:16:35;-53478584#4;-53478584#4_0;veh125;58.72;13.44
00:16:35;24235720#2;24235720#2_0;veh118;49.34;13.69
00:16:35;24235724#1;24235724#1_0;veh116;77.82;12.71
00:16:35;24510986#0;24510986#0_0;veh126;1.66;14.12
00:16:35;53478596#0;53478596#0_0;veh105;41.07;6.82
00:16:36;:1920174658_1;:1920174658_1_0;veh126;13.42;13.42
00:16:36;-24496221#2;-24496221#2_0;veh124;52.53;22.74
00:16:36;-288069073#2;-288069073#2_0;veh121;24.76;13.88
00:16:36;-53478381#1;-53478381#1_0;veh115;65.48;12.74
00:16:36;-53478584#4;-53478584#4_0;veh125;72.43;13.72
00:16:36;24037251#4;24037251#4_0;veh119;2.66;15.00
00:16:36;24235720#2;24235720#2_0;veh118;62.69;13.35
00:16:36;24235724#1;24235724#1_0;veh116;86.66;8.84
00:16:36;24962020#2;24962020#2_0;veh122;3.07;12.21
00:16:36;288069073#4;288069073#4_0;veh114;10.01;13.74
00:16:36;53478596#0;53478596#0_0;veh105;48.57;7.50
00:16:37;-24496221#2;-24496221#2_0;veh124;74.87;22.33
00:16:37;-288069073#2;-288069073#2_0;veh121;38.53;13.77
00:16:37;-53478381#1;-53478381#1_0;veh115;78.10;12.62
00:16:37;-53478584#4;-53478584#4_0;veh125;86.11;13.68
00:16:37;24037251#5;24037251#5_0;veh119;5.68;16.96
00:16:37;24235720#2;24235720#2_0;veh118;76.98;14.29
00:16:37;24235724#1;24235724#1_0;veh116;92.43;5.76
00:16:37;24510986#1;24510986#1_0;veh126;10.00;13.88
00:16:37;24962020#2;24962020#2_0;veh122;16.85;13.78
00:16:37;288069073#4;288069073#4_0;veh114;24.43;14.42
00:16:37;53478596#0;53478596#0_0;veh105;55.34;6.76
00:16:38;:260689778_1;:260689778_1_0;veh119;1.36;15.26
00:16:38;:cluster_1159196298_1159196428_675909808_9384346485_#1more_0;:cluster_1159196298_1159196428_675909808_9384346485_#1more_0_0;veh116;6.18;6.40
00:16:38;:cluster_3326326668_675910425_1;:cluster_3326326668_675910425_1_0;veh125;0.42;13.71
00:16:38;-24496221#1;-24496221#1_0;veh124;11.81;22.45
00:16:38;-288069073#2;-288069073#2_0;veh121;51.72;13.19
00:16:38;-53478381#1;-53478381#1_0;veh115;90.78;12.68
00:16:38;24235720#2;24235720#2_0;veh118;90.14;13.16
00:16:38;24510986#1;24510986#1_0;veh126;23.84;13.83
00:16:38;24962020#2;24962020#2_0;veh122;31.37;14.52
00:16:38;288069073#4;288069073#4_0;veh114;38.90;14.47
00:16:38;53478596#0;53478596#0_0;veh105;62.41;7.07
00:16:39;:260689778_1;:260689778_1_0;veh119;16.10;14.74
00:16:39;:675910299_0;:675910299_0_0;veh105;1.76;7.28
00:16:39;:cluster_1159196298_1159196428_675909808_9384346485_#1more_0;:cluster_1159196298_1159196428_675909808_9384346485_#1more_0_0;veh116;12.10;5.92
00:16:39;:cluster_266370287_5151323624_4;:cluster_266370287_5151323624_4_0;veh124;11.07;20.43
00:16:39;:cluster_3326326668_675910425_1;:cluster_3326326668_675910425_1_0;veh125;13.40;12.98
00:16:39;-288069073#2;-288069073#2_0;veh121;65.48;13.75
00:16:39;-53478381#1;-53478381#1_0;veh115;103.11;12.33
00:16:39;24235720#2;24235720#2_0;veh118;103.70;13.56
00:16:39;24510986#1;24510986#1_0;veh126;37.28;13.44
00:16:39;24962020#2;24962020#2_0;veh122;45.56;14.19
00:16:39;288069073#4;288069073#4_0;veh114;52.59;13.69
00:16:40;:675910299_0;:675910299_0_0;veh105;8.53;6.77
00:16:40;:9384346476_0;:9384346476_0_0;veh116;0.63;6.25
00:16:40;-288069073#2;-288069073#2_0;veh121;79.32;13.85
00:16:40;-53478381#1;-53478381#1_0;veh115;112.41;9.30
00:16:40;-53478584#2;-53478584#2_0;veh125;11.58;12.58
00:16:40;24037251#7;24037251#7_0;veh119;1.96;14.79
00:16:40;24235720#2;24235720#2_0;veh118;117.42;13.72
00:16:40;24496216;24496216_0;veh124;6.29;16.57
00:16:40;24510986#1;24510986#1_0;veh126;50.40;13.13
